date_key,year,month,day,day_of_week,quarter,is_weekend,is_black_friday,is_cyber_monday,is_christmas_eve,is_new_year
2022-01-01,2022,1,1,Saturday,Q1,true,false,false,false,true
2022-01-02,2022,1,2,Sunday,Q1,true,false,false,false,false
2022-01-03,2022,1,3,Monday,Q1,false,false,false,false,false
2022-01-04,2022,1,4,Tuesday,Q1,false,false,false,false,false
2022-01-05,2022,1,5,Wednesday,Q1,false,false,false,false,false
2022-01-06,2022,1,6,Thursday,Q1,false,false,false,false,false
2022-01-07,2022,1,7,Friday,Q1,false,false,false,false,false
2022-01-08,2022,1,8,Saturday,Q1,true,false,false,false,false
2022-01-09,2022,1,9,Sunday,Q1,true,false,false,false,false
2022-01-10,2022,1,10,Monday,Q1,false,false,false,false,false
2022-01-11,2022,1,11,Tuesday,Q1,false,false,false,false,false
2022-01-12,2022,1,12,Wednesday,Q1,false,false,false,false,false
2022-01-13,2022,1,13,Thursday,Q1,false,false,false,false,false
2022-01-14,2022,1,14,Friday,Q1,false,false,false,false,false
2022-01-15,2022,1,15,Saturday,Q1,true,false,false,false,false
2022-01-16,2022,1,16,Sunday,Q1,true,false,false,false,false
2022-01-17,2022,1,17,Monday,Q1,false,false,false,false,false
2022-01-18,2022,1,18,Tuesday,Q1,false,false,false,false,false
2022-01-19,2022,1,19,Wednesday,Q1,false,false,false,false,false
2022-01-20,2022,1,20,Thursday,Q1,false,false,false,false,false
2022-01-21,2022,1,21,Friday,Q1,false,false,false,false,false
2022-01-22,2022,1,22,Saturday,Q1,true,false,false,false,false
2022-01-23,2022,1,23,Sunday,Q1,true,false,false,false,false
2022-01-24,2022,1,24,Monday,Q1,false,false,false,false,false
2022-01-25,2022,1,25,Tuesday,Q1,false,false,false,false,false
2022-01-26,2022,1,26,Wednesday,Q1,false,false,false,false,false
2022-01-27,2022,1,27,Thursday,Q1,false,false,false,false,false
2022-01-28,2022,1,28,Friday,Q1,false,false,false,false,false
2022-01-29,2022,1,29,Saturday,Q1,true,false,false,false,false
2022-01-30,2022,1,30,Sunday,Q1,true,false,false,false,false
2022-01-31,2022,1,31,Monday,Q1,false,false,false,false,false
2022-02-01,2022,2,1,Tuesday,Q1,false,false,false,false,false
2022-02-02,2022,2,2,Wednesday,Q1,false,false,false,false,false
2022-02-03,2022,2,3,Thursday,Q1,false,false,false,false,false
2022-02-04,2022,2,4,Friday,Q1,false,false,false,false,false
2022-02-05,2022,2,5,Saturday,Q1,true,false,false,false,false
2022-02-06,2022,2,6,Sunday,Q1,true,false,false,false,false
2022-02-07,2022,2,7,Monday,Q1,false,false,false,false,false
2022-02-08,2022,2,8,Tuesday,Q1,false,false,false,false,false
2022-02-09,2022,2,9,Wednesday,Q1,false,false,false,false,false
2022-02-10,2022,2,10,Thursday,Q1,false,false,false,false,false
2022-02-11,2022,2,11,Friday,Q1,false,false,false,false,false
2022-02-12,2022,2,12,Saturday,Q1,true,false,false,false,false
2022-02-13,2022,2,13,Sunday,Q1,true,false,false,false,false
2022-02-14,2022,2,14,Monday,Q1,false,false,false,false,false
